Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,07/7/17,1.24,,1.12,,1.25,put,148,17,0.1693,-0.2488,3.892,15.2468,,105,153.18,06/1/17
AAPL,07/7/17,0.52,,0.42,,0.65,put,143,2,0.1878,-0.1151,2.1501,9.3423,,140,153.18,06/1/17
AAPL,07/7/17,0.37,,0.28,,0.45,put,141,0,0.196,-0.0837,1.631,7.398,,57,153.18,06/1/17
AAPL,07/7/17,4.1,,3.8,,4.15,put,155,49,0.1621,-0.5799,5.0128,18.8038,,87,153.18,06/1/17
AAPL,07/7/17,1.49,,1.35,,1.49,put,149,38,0.167,-0.2883,4.2481,16.4204,,109,153.18,06/1/17
AAPL,07/7/17,0.23,,0.12,,0.24,put,137,3,0.2216,-0.0503,0.9715,4.9822,,3,153.18,06/1/17
AAPL,07/14/17,0.54,,0.48,,0.54,put,142,34,0.1863,-0.1109,1.9309,9.9423,,0,153.18,06/1/17
AAPL,07/14/17,3.05,,2.87,,3.11,put,152.5,33,0.1625,-0.455,4.6396,20.8401,,0,153.18,06/1/17
AAPL,07/14/17,1.04,,0.97,,1.06,put,146,24,0.1729,-0.1994,3.0748,14.6921,,0,153.18,06/1/17
AAPL,07/14/17,0.4,,0.34,,0.39,put,140,4,0.1948,-0.0832,1.4958,8.0529,,0,153.18,06/1/17
AAPL,07/14/17,0.47,,0.41,,0.47,put,141,3,0.1911,-0.0968,1.7047,9.006,,0,153.18,06/1/17
AAPL,07/14/17,0.63,,0.57,,0.67,put,143,11,0.1823,-0.1281,2.1855,11.0102,,0,153.18,06/1/17
AAPL,07/14/17,4.35,,4.1,,4.32,put,155,3,0.1607,-0.5719,4.6456,20.6317,,0,153.18,06/1/17
AAPL,07/14/17,1.23,,1.16,,1.32,put,147,42,0.1701,-0.2298,3.3931,15.9565,,0,153.18,06/1/17
AAPL,07/14/17,0.75,,0.69,,0.73,put,144,3,0.1795,-0.1494,2.4648,12.2256,,0,153.18,06/1/17
AAPL,07/14/17,2.04,,1.94,,2.1,put,150,16,0.1645,-0.3427,4.2506,19.3212,,0,153.18,06/1/17
